NR_CERTIFICADO;DT_PROTOCOLO
1143633773111;2025-03-17
1143633793109;2025-03-17
1143633803117;2025-03-19
1143633863112;2025-03-17
1143633913111;2025-03-17
1143633983117;2025-03-18
1143634093117;2025-03-17
1143634123114;2025-04-25
1143634283117;2025-03-18
1143634483117;2025-04-01
1143634493112;2025-03-18
1143634523108;2025-03-18
1143634863117;2025-03-18
1143635063117;2025-03-20
1143635223108;2025-03-31
1143635253114;2025-03-24
1143635303117;2025-03-18
1143635413114;2025-03-18
1143635473114;2025-03-18
1143635503117;2025-03-18
1143635683114;2025-03-31
1143635703117;2025-03-18
1143635753117;2025-03-25
1143635773117;2025-03-18
1143635863109;2025-03-18
1143635953108;2025-03-18
1143636003109;2025-03-18
1143636023117;2025-03-26
1143636043117;2025-03-21
1143636073112;2025-03-18
1143636163112;2025-03-18
1143636263114;2025-03-18
1143636463117;2025-04-04
1143636583109;2025-03-20
1143636593109;2025-03-18
1143636603117;2025-03-21
1143636803117;2025-03-18
1143636923111;2025-03-18
1143637303109;2025-03-18
1143637323109;2025-03-18
1143637413111;2025-03-18
1143637483112;2025-03-18
1143637613117;2025-03-18
1143637633117;2025-03-18
1143637683115;2025-03-18
1143637803109;2025-03-18
1143637813111;2025-03-29
1143637903109;2025-03-18
1143637923117;2025-03-19
1143637983111;2025-03-19
1143637983117;2025-03-19
1143638013109;2025-03-18
1143638043111;2025-03-21
1143638063108;2025-03-18
1143638213117;2025-03-28
1143638253117;2025-03-20
1143638423108;2025-03-19
1143638483117;2025-03-19
1143742663117;2025-03-20
1143742893117;2025-04-02
1143743103112;2025-04-14
1143743213111;2025-03-19
1143743333117;2025-03-19
1143743603117;2025-03-19
1143743643108;2025-03-19
1143743753117;2025-03-21
1143743833117;2025-03-20
1143744103111;2025-03-19
1143744243117;2025-03-25
1143744253108;2025-03-19
1143744533117;2025-03-19
1143744683114;2025-03-20
1143744693109;2025-03-19
1143744863114;2025-05-23
1143744883117;2025-03-19
1143745163117;2025-03-26
1143745673117;2025-03-19
1143745723109;2025-03-27
1143745723117;2025-03-27
1143745993108;2025-03-19
1143746273111;2025-03-19
1143746393117;2025-04-01
1143746453108;2025-03-21
1143746533117;2025-03-21
1143746543117;2025-03-21
1143746623108;2025-03-19
1143746763114;2025-03-19
1143746793114;2025-03-20
1143746823117;2025-03-21
1143747153108;2025-03-31
1143747273114;2025-03-20
1143747293117;2025-03-20
1143747323112;2025-03-20
1143747393117;2025-03-20
1143747643111;2025-03-20
1143747663112;2025-03-20
1143747913117;2025-04-02
1143747923117;2025-03-30
1143747953117;2025-03-20
1143747983114;2025-03-20
1143748043109;2025-03-20
1143748073117;2025-03-20
1143748123117;2025-03-20
1143748163117;2025-03-28
1143748313114;2025-04-03
1143748553108;2025-03-20
1143748603117;2025-03-20
1143748713117;2025-03-20
1143748853112;2025-03-20
1143748863109;2025-03-20
1143748933109;2025-03-20
1143749203117;2025-03-20
1143749563117;2025-06-13
1143749583112;2025-03-31
1143749803117;2025-04-10
1143749823117;2025-03-20
1143749893112;2025-04-14
1143749903115;2025-03-20
1143749913117;2025-03-20
1143749943112;2025-04-14
1143750083111;2025-03-26
1143750163117;2025-03-20
1143750203109;2025-03-20
1143750243111;2025-03-20
1143750423109;2025-04-07
1143750423117;2025-04-07
1143750433117;2025-03-25
1143750463117;2025-03-25
1143750563114;2025-03-21
1143750643117;2025-03-21
1143750643108;2025-03-21
1143751063112;2025-03-21
1143751103111;2025-03-21
1143751153114;2025-03-21
1143751193109;2025-03-22
1143751193117;2025-03-22
1143751443108;2025-03-21
1143751483108;2025-03-21
1143751623109;2025-10-31
1143751643117;2025-03-21
1143751983114;2025-03-21
1143752023117;2025-03-21
1143752093109;2025-03-24
1143752113117;2025-04-15
1143752523117;2025-03-28
1143752573117;2025-03-21
1143813913117;2025-04-01
1143813993114;2025-03-21
1143814023114;2025-04-01
1143814043114;2025-03-21
1143814093114;2025-03-21
1143814273117;2025-03-25
1143814603108;2025-03-21
1143814603117;2025-03-21
1143814723111;2025-03-21
1143814743117;2025-03-21
1143814753114;2025-03-21
1143814783117;2025-03-21
1143814793117;2025-03-21
1143814833117;2025-03-24
1143815163114;2025-03-24
1143815173117;2025-03-21
1143815273117;2025-03-21
1143815273115;2025-03-21
1143815293117;2025-03-24
1143815403117;2025-03-21
1143815443112;2025-03-21
1143815533111;2025-03-21
1143815563114;2025-03-31
1143815783117;2025-04-16
1143815793109;2025-03-22
1143815823114;2025-03-22
1143815853117;2025-03-22
1143816123117;2025-03-24
1143816143108;2025-04-01
1143816203117;2025-04-11
1143816233112;2025-03-24
1143816253117;2025-03-24
1143816313117;2025-03-24
1143816353111;2025-03-24
1143816353117;2025-03-24
1143816393117;2025-03-28
1143816483117;2025-03-31
1143816573109;2025-04-04
1143816573117;2025-04-04
1143816633114;2025-03-24
1143816753108;2025-03-24
1143816843117;2025-09-23
1143816973109;2025-03-24
1143817113117;2025-03-24
1143817133117;2025-03-31
1143817203117;2025-03-25
1143817313109;2025-03-24
1143817363117;2025-03-24
1143817403109;2025-03-24
1143817423109;2025-05-09
1143817433112;2025-03-25
1143817493114;2025-03-27
1143817823117;2025-04-10
1143817863111;2025-03-25
1143817903109;2025-03-24
1143818003112;2025-03-27
1143818063114;2025-03-28
1143818073108;2025-03-25
1143818133108;2025-03-24
1143818143117;2025-03-24
1143818323109;2025-06-24
1143818443114;2025-03-25
1143818483114;2025-03-26
1143818513114;2025-03-24
1143818553117;2025-04-07
1143818633109;2025-03-24
1143818663112;2025-03-24
1143818853114;2025-03-26
1143818893112;2025-03-26
1143819063109;2025-03-24
1143819073117;2025-03-26
1143819113117;2025-03-24
